,p_prism_cvws,p_gpm_cvws,p_dmet_cvws,p_chirps_cvws,p_psn_cvws,aet_modis_cvws,aet_gldas_cvws,aet_tc_cvws,aet_fldas_cvws,pet_modis_cvws,pet_gldas_cvws,pet_tc_cvws,pet_nldas_cvws,pet_gmet_cvws,sm_smos_cvws,sm_smap_cvws,sm_tc_cvws,sm_gldas_cvws,swe_gldas_cvws,swe_fldas_cvws,swe_dmet_cvws,swe_tc_cvws
2001-01-31,16.032533738800794,15.633288695045813,16.984920228995808,15.969197216788885,15.95566573080912,3.5095738174491578,2.602354824885726,4.072628079685326,4.1976395346958,10.580904389229067,6.258228154691426,4.234018975400266,8.311585505392348,6.056964195573333,,,13.92701652568064,62.47732111050091,1.3848136418398915,1.910001636080137,4.650753387906751,5.19898655970083
2001-02-28,20.380957804384046,20.32924876524427,22.094883703753347,18.249361338541124,19.34306116218616,2.8748139014555116,3.7080225943482725,4.856344436591777,5.537205415674837,6.524840429933051,6.943922641565514,5.101320508440669,9.121915726680095,7.1670706322740365,,,19.221226230163175,71.06713818927393,3.301980342291313,3.9212206206216953,7.593705093694454,8.968519312516516
2001-03-31,9.733723132981616,9.114379319757962,10.005137645931223,11.782583663234496,9.737175455405735,6.062204128904817,8.053310891937754,8.632155370303861,9.644813877736054,17.58315804325035,16.95312109647701,12.190410372951344,19.016286041033133,14.360154140534412,,,19.107870197462436,81.02010564762895,3.3404015003545218,4.245604881469041,9.58435371775612,4.495732022135466
2001-04-30,10.74072158686276,9.770188769889613,11.158612984154585,9.009346524884528,9.138262043053897,4.783071295850362,10.76945391827598,9.853861778326378,10.416487651547344,15.982046370901523,26.27720079128769,15.480023655157675,24.012180588212754,17.040486273301692,,,17.27715478970288,78.74567035080196,0.7003245023091929,1.721930036103617,9.979663755210495,4.518939862353316
2001-05-31,0.3393859916589831,0.3336222802976884,0.20079768119688776,1.5526794152926005,0.544934768402805,6.749511778013569,14.463900418924007,8.499731584637532,12.377734157160486,37.9662901523545,55.833344979737994,28.987782730084994,44.30364337830887,32.66073013455795,,,11.572004452116278,68.80534459496586,0.021913560991323723,0.2231010785100912,8.725429048983008,0.23437354842152155
2001-06-30,1.0898330936325227,1.0432933724925804,1.1011912974947633,1.2960458915890112,1.2468482706561792,3.3283890514465537,9.563632677489906,5.864203342054961,8.65155940754975,27.130244699429554,59.4528722923146,32.17388046056386,49.02000329168524,32.73789215869538,,,7.338402035692324,57.49205886058965,0.0012718394725238572,0.0007083535287734078,6.116688948417486,0.017420567672470588
2001-07-31,0.8916838759286734,0.7666744514688285,0.595916533195919,0.6203323402346278,0.7472351976722096,5.943430172723492,6.293725227705965,2.829134709442267,6.185170682449971,40.57690371635966,57.438425806030736,32.52324639185475,52.41298516542739,33.51433352576976,,,5.457013014771753,50.75580523597124,0.002693408004880614,0.0,4.016777038792867,0.0019636771900235295
2001-08-31,0.03254486987469873,0.14411213067494105,0.013678591696196908,0.46103274809650435,0.08509388946162373,3.767228899457559,3.1002742024722285,1.2099698396392868,3.4033140089409533,38.74136232373127,57.88344350748089,31.068745626065468,50.565472141578105,32.05190452650971,,,4.4210619134008216,46.39839526528369,0.004048649263006229,0.0,2.4859050928326076,0.0
2001-09-30,1.6460293544470446,1.4318666122662926,1.5398329192507112,2.2114844195117507,1.2938439602018186,3.84717762507339,2.0130035658861907,2.4720395584187447,2.296278983381145,30.31805403804903,44.33311737259088,22.764234013354898,38.5227103218174,23.909774541421385,,,3.7412223375235514,44.50229615826342,0.005312619894181504,0.0,1.496330144461034,0.0
2001-10-31,3.5532721252239967,3.261405157218334,3.8848000913441063,4.748077599247143,2.9707126827316577,2.3376083871474824,1.6850078436195508,3.7085370092591754,1.6719814331500542,15.830645372771178,34.38136848862424,14.862052515766004,28.097835514866745,17.40949732966066,,,3.2923107550465,44.18534168287786,0.006366917530730826,0.0038160782403589178,0.9960538370876416,0.0
2001-11-30,20.58365778195985,19.97984928120166,23.51589202284892,20.86118943726799,17.881853982851126,2.3771096090276234,2.2931088717321524,7.433378473783124,3.9102835703071737,9.064397752746077,11.039203432312382,7.857102045651533,11.706398115913139,6.916766153155431,,,14.991439948510468,50.415308419574785,0.2749758958277585,0.6725956683789795,1.2046215712156052,0.40507520185123136
2001-12-31,29.57283567851571,26.751099988655707,30.31748915799451,26.653699401799948,25.720897214485984,1.7149220813061532,1.8628220004250327,3.934096429918104,3.4797596332494454,3.5221871169700583,4.2391082463670955,4.24585048636198,5.722282467264643,4.612628188707846,,,22.800319464515862,65.28086577092532,3.0493830941069,6.175612770078409,4.1574228114581,5.139631670456721
2002-01-31,11.714890090449314,10.581797705700515,11.88517371092138,11.999869459972993,10.31666340680852,2.36993292040091,2.582572890061432,3.0302937171271225,4.274756972071464,6.148380178333811,6.382917707624349,3.8574585986989463,7.057525744486273,5.714270361105813,,,23.176506338573454,80.26275281267158,4.798413436371899,7.204478639638873,2.9180042095877523,7.215668417001913
2002-02-28,7.21397803687326,6.6966658651333315,7.306308071258091,6.906112517059706,6.398269227991362,3.86887796740567,4.3697415067892384,3.986445445440084,6.254934810010216,12.373628150649614,10.574250069361153,6.441184831274131,9.676715808302038,8.769735138515596,,,22.609938903305437,78.770216409547,4.2484195460447065,6.550062532646222,3.463232991656266,7.025390525395827
