,p_prism,p_gpm,p_dmet,p_chirps,p_psn,aet_modis,aet_gldas,aet_tc,aet_fldas,pet_modis,pet_gldas,pet_tc,pet_nldas,pet_gmet,sm_smos,sm_smap,sm_tc,sm_gldas,r_tc,r_gldas,r_fldas
2001-01-31,4.2137973014078565,5.453137495078775,4.52642898399232,4.618564751818445,6.088880585092874,1.1755901846313608,0.9199687776058401,1.770928686381174,1.3336123118970653,3.75527644691729,2.83490041837314,1.7744250445648586,3.3875456437708995,1.898267414530802,,,3.847973132655435,24.290883873895858,0.18856375958378002,0.45528646712254683,0.4037752584684515
2001-02-28,4.308656409897339,6.5614260091637355,4.781991838838753,4.3330770352975625,6.94181661438654,1.163096868036826,1.4373307159607764,2.300284629841489,1.8789532819634853,2.7848005917510097,3.2608523986282707,2.351134247562662,4.095345468742246,2.725643714657227,,,5.712025393712189,27.756603813981368,0.2404822480028487,1.149769395579713,0.4966589821489815
2001-03-31,2.2258597458663267,2.9395535555992343,2.3512427338257145,2.9219144609113066,3.5560828738763273,2.3439779170819763,3.493445133509967,2.4462929082985267,3.5125783128255583,6.651870234658842,7.4651716258756755,4.933624462897411,7.624846409356271,5.4214824845302445,,,4.961616033969494,31.196900242143514,0.09088668851562752,1.8320916953533255,0.3552434532520575
2001-04-30,1.760142317101308,2.707457728635962,1.8493524840948985,1.6388585607146613,2.846318513228561,1.6277949120475022,4.0758610385599185,2.653019318521141,3.249900336673964,6.029116067598939,10.309994030914803,6.357957084387902,9.72401412047499,6.660841847569907,,,4.1266221982434885,28.912479439069855,0.0954273528200157,0.6117937673908875,0.17058561305419256
2001-05-31,0.00381000919075602,0.03573641090092833,0.0030125734895566736,0.2903604499315037,0.14234411736300437,1.637830166579547,4.4188654933111655,0.7749098567568214,2.6092781041991664,12.613986393644682,19.912202926201157,10.969640768758591,17.33097022182574,12.62306789162005,,,2.7309648152596075,25.102584321886148,0.0,0.24398043129758026,0.014996027100625652
2001-06-30,0.1298364593940607,0.2045276104727214,0.14301189542438433,0.19174201090095,0.35176957106673507,0.8100236178457463,2.363271764384497,0.5404856724227536,0.961151368488604,8.897522929674997,21.023132944155996,11.980557962000699,19.239359121906478,12.604347449406346,,,1.9587284832091358,21.6819878627062,0.005569820579239213,0.1374971948040987,0.011310439589580178
2001-07-31,0.02455676945268204,0.07944858665873022,0.013721461999109065,0.042585457583451045,0.08383580172435585,2.10409852104202,1.1616824380685393,0.2446192952715776,0.4147870307087411,12.799088230765504,19.87016738641128,11.629523631143677,20.13158979009554,12.37565242061031,,,1.5387708938400628,19.872691231171736,0.0,0.10697763377849491,0.008082313568833354
2001-08-31,0.0,0.01641167403675892,0.0,0.0669028747386819,0.01956068386168691,1.4322906287061683,0.5284514680085746,0.16823883684763902,0.21039901138882966,12.243263257014009,19.6710533409222,10.889392760037813,18.925513288701985,11.635379857252158,,,1.286147514231467,18.801779893404042,0.0,0.08698456462513725,0.007026665699709393
2001-09-30,0.20778262908911593,0.269162826114231,0.21610995798539318,0.3679214350977173,0.2743017110555169,1.0954610495285741,0.38408247076054736,0.3848965976667725,0.2276747144016401,9.881047103035561,15.372919436962643,8.034774962800794,14.303121661052097,8.797381714712058,,,1.110025974392872,18.315419912567016,0.008203715586294106,0.07575299986041129,0.015401528334829943
2001-10-31,0.5877942200916872,0.8688809446956113,0.6727609636787714,1.0180529688853102,0.9140867480506005,0.5674942862012405,0.41321949388381807,0.7104448976285708,0.2867015589514436,5.422135214534341,12.084612931824548,5.177859408169527,10.375469322048799,6.315631497675429,,,0.9865129381835797,18.221284921694505,0.024306984578027494,0.07978780851038107,0.049131321938934276
2001-11-30,3.6075093260939157,5.5914315221751485,4.481633280996984,3.8750287423925642,6.052895495208924,0.718106219204467,0.7418307225834571,2.3877125025937533,1.2189883925227454,3.100594827059101,4.075593896629288,2.6389105859217863,4.525134565787434,2.435320511362394,,,3.5549033939233134,20.36776446801145,0.21167867139915278,0.283556591004134,0.30690996723234737
2001-12-31,5.510869575838547,7.903685047572735,5.935666774210403,5.567103668730012,8.882814548302896,0.6224402062096249,0.6563068082241393,1.5264323947182412,1.198409313345685,1.3581845092465774,1.9386697198931733,1.614443985493737,2.629211471017137,1.5761052376710145,,,6.615244306325183,25.77058381132239,0.9069127240521285,1.5558817202937656,0.6523063000810136
2002-01-31,2.1750728331749203,2.961665632746801,2.409394246800042,2.7377939030706058,3.259381560184507,0.8324731749671143,1.0203973680927478,1.1745135967816596,1.4275604875869412,2.101229800385799,2.879533660801002,1.6141901105626941,2.9777680357456284,1.7429985387856997,,,6.7559242468095,30.91373755478201,0.529958610746071,3.4081922086666863,0.5725708787037382
2002-02-28,0.907361863076385,1.546430806081177,1.010437074698863,1.1903577789942046,2.0084169240398886,1.4403310268735936,1.7563111863558378,1.3474279788233274,1.9748813638584004,4.635312115900219,4.692877709060731,2.7826868064258226,4.129821418894561,2.972064436238856,,,6.375742438924047,29.742009530668735,0.0655995485813802,0.9412089415896165,0.20006555489084155
2002-03-31,1.9763688992192794,2.8609393560913747,2.0899421604103456,2.16865979437044,3.174789618573351,1.919039634540082,3.3316015059851405,2.3457542190707157,2.969089342587525,6.172197198183863,8.116525555973316,4.725113683938042,7.213439236833785,5.154881658404143,,,5.851315740552333,29.497111640083972,0.09319610104868241,1.1395761969948177,0.29147287666699523
