,swe_snodas
2020-05-31,0.224139
2020-06-30,0.000662
2020-07-31,0.0
2020-08-31,0.0
2020-09-30,0.0
2020-10-31,0.0
2020-11-30,1.1527100000000001
2020-12-31,4.928492999999998
2021-01-31,14.348103000000002
2021-02-28,13.828116999999999
2021-03-31,13.022488999999998
2021-04-30,4.35779
2021-05-31,0.154868
